Line A,Line B,Line C
110,102,79
97,98,94
113,97,95
130,103,88
95,105,98
95,105,106
132,96,128
115,98,103
91,102,104
111,105,99
91,98,71
91,99,100
105,94,101
62,94,137
66,104,97
89,107,105
80,100,99
106,105,82
82,102,117
72,97,111
129,102,112
95,108,86
101,100,121
72,108,79
89,87,109
102,104,133
77,100,85
108,99,92
88,100,101
94,90,92
88,99,77
137,102,101
100,107,84
79,97,107
116,96,86
76,97,123
104,105,88
61,102,95
73,97,112
104,103,82
115,100,103
103,105,120
98,96,76
94,98,103
70,98,104
86,93,112
91,101,81
121,101,80
107,100,108
65,99,104
