Line A,Line B,Line C,Line D,Line E
1.44,4.88,0.27,3.66,4.57
2.88,4.1,1.66,1.19,2.34
2.33,4.76,0.92,0.84,2.65
2,4.58,1.37,2.11,5.59
0.89,3.39,2.29,3.95,4.43
0.89,4.69,0.77,1.2,2.04
0.65,1.35,1.14,2.79,2.41
2.67,1.78,1.94,3.12,4.65
2,1.18,0.73,1.18,2.02
2.27,2.3,0.38,2.99,2.64
0.55,2.55,0.87,1.66,4.19
2.92,2.09,0.57,2.64,4.77
2.58,4.31,2.34,2.64,4.61
1.03,2.43,2.06,2.28,2.9
0.95,2.12,1.66,0.63,4.85
0.96,3.17,2.2,3.39,2.95
1.26,1.56,2.05,1.49,3.3
1.81,4.21,0.63,0.99,4.99
1.58,1.3,2.25,0.45,4.6
1.23,4.95,1.44,2.49,5.4
2.03,4.09,2.06,2.81,4.63
0.85,1.79,2.26,0.36,4.27
1.23,1.02,0.93,2.19,2.37
1.42,4.26,0.45,1.14,3.47
1.64,3.83,0.72,2.69,3.06
2.46,3.92,1.18,0.95,2.98
1,4.09,2.08,2.86,5.89
1.79,1.3,2.18,1.73,3.57
1.98,2.43,0.22,3.77,5.57
0.62,1.46,1.37,0.81,4.52
2.02,4.45,1.16,1.56,5.18
0.93,3.49,0.71,0.72,4.01
0.66,2.32,0.48,3.72,4.31
2.87,1.25,0.98,3.55,3.97
2.91,2.24,2.37,1.25,2.78
2.52,2.3,0.94,2.74,4.89
1.26,3.92,1.39,3.32,3.12
0.74,3.55,1.82,2.35,2.1
2.21,4.55,1.04,2.26,4.58
1.6,2.89,2.44,1.19,2.71
0.81,1.48,2.41,0.64,5.76
1.74,3.85,0.78,3.62,5.82
0.59,4.04,1.34,3.63,5.66
2.77,3.25,0.89,2.64,3.48
1.15,4.08,0.86,1.55,2.06
2.16,2.98,0.28,1.59,5.71
1.28,3.09,1.6,2.99,3.71
1.8,2.71,1.36,3.62,5.87
1.87,1.1,0.32,3.58,5.85
0.96,1.43,0.84,3.19,5.41
